/// This is for the parameters to predict SOA formation from the photooxidation of C12
/// This file inlcludes the parameter for each lumping species at the four different conditions (LNOX-fresh, LNOx-aged, HNOx-fresh, HNOx-aged)                                    							
/// This file includes the molecular properties for each lumping species (MW: molecular weight, O:C: oxygen to carbon ratio, HB: hydrogen bonding  Zhou et al., (2018))                                    							
/// HB is calculated based on the functionality (OH(OOH)=1; COOH(COOOH) =1.6)                                    							
/// a, b, c, and d are coefficients in the polynomial equation to calculate stoichiomatric arrays as a function of the HC/NOx ratios and gas aging                                     							
///obtained from gas simulation from here							
///Carbon number of precursor							
12							
///molecular weight of precursor         							
170.33							
///Aging scale (log ((RO2+HO2)ppb/HC ppbc) for fresh and aged states as a function fo HC/NOx ratios                                    							
/// VOC/NOx ratio           Aging_Scale_Lower      Aging_Scale_Upper                                                                                                                							
53.33	-5.7982E+00	-5.2763E+00					
32.00	-6.0555E+00	-5.6246E+00					
16.00	-6.4109E+00	-6.0280E+00					
9.60	-6.6759E+00	-6.2969E+00					
8.00	-6.7714E+00	-6.3845E+00					
6.40	-6.8891E+00	-6.4831E+00					
5.33	-6.9861E+00	-6.5559E+00					
4.57	-7.0686E+00	-6.6121E+00					
2.40	-7.4173E+00	-6.8135E+00					
////parameters for lumping species at LNOx_fresh:  MW,  O:C, HB, a, b, c, d(a, b, c, and d are for stoichiometiric coeffcient arrays)							
1VF	2.3963E+02	5.0000E-01	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00
2VF	2.1887E+02	5.0000E-01	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00
3VF	1.9812E+02	5.0000E-01	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00
4VF	1.7736E+02	5.0000E-01	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00
5VF	1.5660E+02	3.3333E-01	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00
6VF	1.3584E+02	6.4774E-01	6.8184E-01	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00
7VF	1.1508E+02	8.9935E-01	6.2586E-01	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00
8VF	9.4326E+01	6.7632E-01	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00
1F	1.3832E+02	5.0000E-01	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00
2F	1.3167E+02	5.0000E-01	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00
3F	1.2502E+02	5.0000E-01	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00
4F	1.1837E+02	5.6250E-01	5.0000E-01	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00
5F	1.1172E+02	5.0000E-01	2.5000E-01	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00
6F	1.0507E+02	7.0313E-01	7.5000E-01	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00
7F	9.8414E+01	5.8333E-01	6.6667E-01	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00
8F	9.1764E+01	5.5741E-01	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00
1M	1.2663E+02	3.3300E-01	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00
2M	1.2387E+02	3.3300E-01	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00
3M	1.2110E+02	3.3300E-01	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00
4M	1.1834E+02	7.5000E-01	1.2500E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00
5M	1.1557E+02	7.7500E-01	2.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00
6M	1.1281E+02	8.5673E-01	7.5000E-01	-4.4273E-09	3.9493E-07	-7.5129E-06	4.4516E-04
7M	1.1004E+02	4.2412E-01	9.6603E-01	-1.3004E-08	1.1520E-06	-2.1203E-05	1.3503E-03
8M	1.0728E+02	2.6978E-01	1.3649E-01	-1.0462E-08	9.2436E-07	-1.6791E-05	1.0995E-03
1S	2.3545E+02	4.2074E-01	1.3531E+00	-7.3401E-09	1.8404E-06	4.3082E-06	1.6151E-04
2S	2.1489E+02	4.3154E-01	1.6500E+00	-3.0144E-08	9.3921E-06	1.5820E-04	5.3344E-03
3S	2.0301E+02	4.3369E-01	7.7427E-01	1.5821E-07	-1.5732E-05	1.0021E-03	4.8252E-02
4S	1.9113E+02	4.3589E-01	1.2735E+00	5.9273E-07	-7.1014E-05	2.4860E-03	1.4607E-01
5S	1.7925E+02	1.8022E-01	9.9985E-01	4.7684E-07	-5.6440E-05	1.8561E-03	1.2087E-01
6S	1.6737E+02	5.3304E-01	4.7160E-01	-3.5939E-08	2.8087E-06	-1.1634E-05	5.1760E-03
7S	1.5549E+02	3.0141E-01	4.9645E-01	-3.7916E-08	3.0088E-06	-1.2304E-05	5.3702E-03
8S	1.4361E+02	5.4788E-01	6.1368E-02	-9.3083E-09	7.7398E-07	-2.2542E-06	1.2541E-03
1P	2.7917E+02	4.9849E-01	1.5000E+00	1.6537E-09	-1.8993E-06	2.8719E-04	1.2101E-03
2P	2.1863E+02	6.2953E-01	1.6500E+00	4.6945E-08	-8.6535E-06	6.9510E-04	1.3199E-02
3P	2.0709E+02	7.6057E-01	9.3754E-01	1.4125E-07	-1.6641E-05	5.4324E-04	3.5353E-02
4P	1.9555E+02	3.6032E-01	6.2506E-01	1.2974E-07	-1.5281E-05	5.1524E-04	3.2962E-02
5P	1.8401E+02	5.2130E-01	7.4397E-01	1.6112E-07	-1.8862E-05	8.0115E-04	4.4576E-02
6P	1.7246E+02	5.8111E-01	4.1964E-01	5.0699E-07	-5.9263E-05	2.5120E-03	1.3814E-01
7P	1.6092E+02	5.6227E-01	3.1591E-01	4.3538E-07	-5.0676E-05	2.1372E-03	1.1333E-01
8P	1.4938E+02	1.7718E+00	2.3952E-01	2.1503E-08	-2.2722E-06	8.4233E-05	-5.2055E-05
1MA	2.1018E+02	3.3000E-01	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00
2MA	1.9863E+02	3.3000E-01	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00
3MA	1.0612E+02	7.5000E-01	7.5000E-01	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00
4MA	1.2040E+02	6.2141E-01	3.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00
5MA	1.6401E+02	3.3000E-01	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00
6MA	1.5246E+02	3.3000E-01	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00
7MA	1.4092E+02	3.3000E-01	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00
8MA	1.2938E+02	3.3000E-01	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00
IEPOXY	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00
MGLY	7.2063E+01	6.6667E-01	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00
GLY	5.8036E+01	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00
////parameters for lumping species at LNOx_aged:   MW,  O:C, HB, a, b, c, d(a, b, c, and d are for stoichiometiric coeffcient arrays)							
1VF	2.3963E+02	5.0000E-01	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00
2VF	2.1887E+02	5.0000E-01	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00
3VF	1.9812E+02	5.0000E-01	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00
4VF	1.7736E+02	5.0000E-01	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00
5VF	1.5660E+02	3.3333E-01	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00
6VF	1.3584E+02	6.4774E-01	6.8184E-01	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00
7VF	1.1508E+02	8.9935E-01	6.2586E-01	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00
8VF	9.4326E+01	6.7632E-01	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00
1F	1.3832E+02	5.0000E-01	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00
2F	1.3167E+02	5.0000E-01	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00
3F	1.2502E+02	5.0000E-01	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00
4F	1.1837E+02	5.6250E-01	5.0000E-01	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00
5F	1.1172E+02	5.0000E-01	2.5000E-01	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00
6F	1.0507E+02	7.0313E-01	7.5000E-01	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00
7F	9.8414E+01	5.8333E-01	6.6667E-01	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00
8F	9.1764E+01	5.5741E-01	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00
1M	1.2663E+02	3.3300E-01	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00
2M	1.2387E+02	3.3300E-01	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00
3M	1.2110E+02	3.3300E-01	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00
4M	1.1834E+02	7.5000E-01	1.2500E+00	-9.2751E-10	8.8575E-08	-2.7707E-06	1.3688E-04
5M	1.1557E+02	7.7500E-01	2.0000E+00	-1.6367E-08	1.6547E-06	-6.2290E-05	2.6164E-03
6M	1.1281E+02	8.5673E-01	7.5000E-01	-4.9405E-08	5.0350E-06	-1.9374E-04	7.9548E-03
7M	1.1004E+02	4.2412E-01	9.6603E-01	-5.1642E-08	5.2785E-06	-2.0470E-04	8.3315E-03
8M	1.0728E+02	2.6978E-01	1.3649E-01	-1.7449E-08	1.7860E-06	-6.9519E-05	2.8173E-03
1S	2.3545E+02	4.2074E-01	1.3531E+00	-3.3731E-07	2.2178E-05	1.4174E-03	-2.5625E-03
2S	2.1489E+02	4.3154E-01	1.6500E+00	-5.9899E-07	3.5123E-05	3.2992E-03	3.3308E-02
3S	2.0301E+02	4.3369E-01	7.7427E-01	2.2121E-08	2.6546E-06	-6.4602E-04	1.3083E-01
4S	1.9113E+02	4.3589E-01	1.2735E+00	-3.8039E-08	1.7371E-05	-2.3962E-03	1.5187E-01
5S	1.7925E+02	1.8022E-01	9.9985E-01	-3.2513E-07	3.7434E-05	-1.8513E-03	8.2319E-02
6S	1.6737E+02	5.3304E-01	4.7160E-01	-4.1751E-07	4.1579E-05	-1.2943E-03	4.3745E-02
7S	1.5549E+02	3.0141E-01	4.9645E-01	-2.3222E-07	2.3013E-05	-6.5580E-04	2.3343E-02
8S	1.4361E+02	5.4788E-01	6.1368E-02	-4.4486E-08	4.3709E-06	-1.0537E-04	4.1629E-03
1P	2.7917E+02	4.9849E-01	1.5000E+00	5.0343E-07	-5.4458E-05	1.6892E-03	8.1972E-03
2P	2.1863E+02	6.2953E-01	1.6500E+00	3.7505E-07	-3.7398E-05	7.3292E-04	4.0220E-02
3P	2.0709E+02	7.6057E-01	9.3754E-01	-1.9121E-08	5.4323E-06	-6.2189E-04	3.5976E-02
4P	1.9555E+02	3.6032E-01	6.2506E-01	-5.9134E-08	6.9210E-06	-3.3482E-04	5.3154E-02
5P	1.8401E+02	5.2130E-01	7.4397E-01	-1.8112E-07	1.7344E-05	-4.0682E-04	1.4033E-01
6P	1.7246E+02	5.8111E-01	4.1964E-01	-1.9791E-07	1.8836E-05	-4.3212E-04	1.5369E-01
7P	1.6092E+02	5.6227E-01	3.1591E-01	-6.8206E-08	6.3662E-06	-1.3588E-04	5.3379E-02
8P	1.4938E+02	1.7718E+00	2.3952E-01	3.8934E-11	-6.6866E-08	6.6555E-06	1.7129E-04
1MA	2.1018E+02	3.3000E-01	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00
2MA	1.9863E+02	3.3000E-01	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00
3MA	1.0612E+02	7.5000E-01	7.5000E-01	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00
4MA	1.2040E+02	6.2141E-01	3.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00
5MA	1.6401E+02	3.3000E-01	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00
6MA	1.5246E+02	3.3000E-01	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00
7MA	1.4092E+02	3.3000E-01	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00
8MA	1.2938E+02	3.3000E-01	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00
IEPOXY	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00
