N_cyc (number of cycle)
100
OM_pre (preexisting OM)
13
VOC/NOx ratio
6.5
initial ROG concentration [ppb]
262
HO2(j)  RO2(j)  dROG(j)  Temp(j)  RH(j)  dSO4(j)  dNH4(j)
0 0 0 295.020158333333 0.819993127728721 0 0
9.68700563974376E-09 1.20620638950077E-08 0.17070859622595 295.043933333333 0.81940207883807 0.42 0
9.65837424138584E-09 1.20203399592294E-08 0.170593386160022 295.067933333333 0.818802039814855 0 0
9.66233517031785E-09 1.20245131480023E-08 0.17048110862703 295.091933333333 0.818202226300489 0 0
9.67599723340588E-09 1.20427276728969E-08 0.170369856798004 295.133858333333 0.816601012491144 0 0
9.69362484795899E-09 1.20673280979526E-08 0.170258941623956 295.184858333333 0.814497903469842 0 0
9.71248453096395E-09 1.20941523012167E-08 0.17014816491303 295.235858333333 0.812400986396453 0 0
9.7308478458274E-09 1.21203469230977E-08 0.170037449662004 295.278925 0.8107026447296 0 0
9.7475149172687E-09 1.21438449526134E-08 0.169926760854992 295.305925 0.809801765138984 0 0
9.76134748073599E-09 1.2162657082158E-08 0.169816073805976 295.332925 0.80890193708281 0 0
9.77454751648535E-09 1.2180531722446E-08 0.169705429647024 295.359925 0.808003159447864 0 0
9.78745573301581E-09 1.21980063266511E-08 0.169594844218011 295.383933333333 0.8068016588324 0 0
9.79974134538751E-09 1.22144846361948E-08 0.169484313297971 295.407933333333 0.805601319388233 0 0
9.81181700742356E-09 1.22306630350971E-08 0.169373845077985 295.431933333333 0.804402984918377 0 0
9.82376867396866E-09 1.22466732349943E-08 0.169263443393049 295.45195 0.80320240708066 0 0
9.83507818644139E-09 1.22616120599528E-08 0.169153099506957 295.46995 0.802001507182086 0 0
9.84597782074002E-09 1.22758752083362E-08 0.169042816288027 295.48795 0.800802396820332 0 0
2.51710878441602E-07 3.4757543356461E-07 0.179864951795992 295.513883333333 0.79957322119421 0 0
2.52005876870047E-07 3.48007987207067E-07 0.179747816190002 295.555883333333 0.79828150362229 0 0
1.27285954092775E-06 1.75519784674952E-06 0.225283504010008 295.597883333333 0.796991839934524 0 0
2.81030138429063E-06 3.87485693999237E-06 0.29366990692597 295.639883333333 0.795704227940412 0 0
5.11744875852536E-06 7.05498774986596E-06 0.395881509052003 295.780608333333 0.790846260456555 0 0
8.94975830111321E-06 1.23451097257678E-05 0.564766447935028 295.921608333333 0.786010855013575 0 0
1.33073588191864E-05 1.83602482832657E-05 0.75485229421696 296.062608333333 0.781207783711712 0 0
1.86676277383447E-05 2.57613830650857E-05 0.986257073409035 296.368916666666 0.770205900642677 0 0
2.45535661411753E-05 3.39143118977825E-05 1.23503176161199 296.758916666666 0.756295298993841 0 0
0.0000312127886059 4.31610682580809E-05 1.509931365456 297.148916666666 0.742668059108836 0 0
3.83601639937758E-05 5.31016655340454E-05 1.797123761492 297.61825 0.725607121957304 0 0
4.59732372705995E-05 0.000063723412406879 2.09195345441299 298.24825 0.701739952962152 0 0
5.41473951741159E-05 7.52026531397436E-05 2.39362541752502 298.87825 0.678770353263264 0 0
6.27442992323505E-05 8.73113446291175E-05 2.69565658059798 299.50825 0.656660786485496 0 0
